"data","memoria","cpu"
"01/20/2021 14:19:02","84.7","4.3"
"01/20/2021 14:19:32","84.7","6.2"
"01/20/2021 14:20:02","84.8","4.6"
"01/20/2021 14:20:32","85.0","6.8"
"01/20/2021 14:21:02","84.8","4.4"
"01/20/2021 14:21:32","84.7","6.4"
"01/20/2021 14:22:02","84.8","4.6"
"01/20/2021 14:22:32","84.8","6.7"
"01/20/2021 14:23:02","84.7","5.3"
"01/20/2021 14:23:32","84.7","6.3"
"01/20/2021 14:24:02","84.7","4.1"
"01/20/2021 14:24:32","84.7","6.1"
"01/20/2021 14:25:02","84.8","4.3"
"01/20/2021 14:25:32","85.2","7.0"
"01/20/2021 14:26:02","85.3","8.0"
"01/20/2021 14:26:32","84.8","6.0"
"01/20/2021 14:27:02","84.8","4.4"
"01/20/2021 14:27:32","85.1","5.1"
"01/20/2021 14:28:02","84.8","5.4"
"01/20/2021 14:28:32","84.8","4.3"
"01/20/2021 14:29:02","84.7","6.5"
"01/20/2021 14:29:32","84.8","4.5"
"01/20/2021 14:30:02","84.9","7.9"
"01/20/2021 14:30:32","85.2","5.3"
"01/20/2021 14:31:02","85.5","8.6"
"01/20/2021 14:31:32","85.3","5.0"
"01/20/2021 14:32:02","84.7","7.3"
"01/20/2021 14:32:32","84.8","5.2"
"01/20/2021 14:33:02","84.7","6.4"
"01/20/2021 14:33:32","84.7","4.3"
"01/20/2021 14:34:02","84.8","6.2"
"01/20/2021 14:34:32","84.8","4.2"
"01/20/2021 14:35:02","84.9","6.1"
"01/20/2021 14:35:32","85.1","5.1"
"01/20/2021 14:36:02","84.8","7.0"
"01/20/2021 14:36:32","84.7","4.2"
"01/20/2021 14:37:02","84.8","6.4"
"01/20/2021 14:37:32","84.8","4.4"
"01/20/2021 14:38:03","84.8","6.2"
"01/20/2021 14:38:33","84.7","4.9"
"01/20/2021 14:39:03","85.8","5.7"
"01/20/2021 14:39:33","84.8","5.8"
"01/20/2021 14:40:03","84.9","4.4"
"01/20/2021 14:40:33","85.2","7.9"
"01/20/2021 14:41:03","84.8","5.0"
"01/20/2021 14:41:33","84.8","6.6"
"01/20/2021 14:42:03","84.8","4.8"
"01/20/2021 14:42:33","84.8","7.0"
"01/20/2021 14:43:03","84.8","4.5"
"01/20/2021 14:43:33","84.9","7.7"
"01/20/2021 14:44:03","84.8","4.5"
"01/20/2021 14:44:33","84.8","7.2"
"01/20/2021 14:45:03","84.9","5.0"
"01/20/2021 14:45:33","85.2","6.8"
"01/20/2021 14:46:03","84.9","4.5"
"01/20/2021 14:46:33","84.8","7.1"
"01/20/2021 14:47:03","84.9","6.5"
"01/20/2021 14:47:33","85.1","9.0"
"01/20/2021 14:48:03","84.9","5.2"
"01/20/2021 14:48:33","84.8","7.0"
"01/20/2021 14:49:03","84.9","5.2"
"01/20/2021 14:49:33","84.9","7.5"
"01/20/2021 14:50:03","85.0","4.7"
"01/20/2021 14:50:33","85.6","7.4"
"01/20/2021 14:51:03","85.4","6.2"
"01/20/2021 14:51:33","85.3","5.4"
"01/20/2021 14:52:03","84.9","5.4"
"01/20/2021 14:52:33","85.0","5.6"
"01/20/2021 14:53:03","84.9","6.8"
"01/20/2021 14:53:33","84.9","4.9"
"01/20/2021 14:54:03","84.9","7.4"
"01/20/2021 14:54:33","84.8","4.5"
"01/20/2021 14:55:03","84.9","6.8"
"01/20/2021 14:55:33","85.2","5.7"
"01/20/2021 14:56:03","84.9","7.0"
"01/20/2021 14:56:34","84.8","5.1"
"01/20/2021 14:57:04","84.8","6.8"
"01/20/2021 14:57:34","84.9","4.9"
"01/20/2021 14:58:04","84.8","6.4"
"01/20/2021 14:58:34","84.8","4.5"
"01/20/2021 14:59:04","84.9","6.4"
"01/20/2021 14:59:34","84.8","4.3"
"01/20/2021 15:00:04","84.9","6.8"
"01/20/2021 15:00:34","85.2","4.7"
"01/20/2021 15:01:04","85.0","7.5"
"01/20/2021 15:01:34","85.0","5.6"
"01/20/2021 15:02:04","84.9","6.8"
"01/20/2021 15:02:34","85.1","6.0"
"01/20/2021 15:03:04","85.1","7.0"
"01/20/2021 15:03:34","85.0","5.1"
"01/20/2021 15:04:04","85.0","5.4"
"01/20/2021 15:04:34","84.9","6.6"
"01/20/2021 15:05:04","85.0","4.8"
"01/20/2021 15:05:34","85.4","7.1"
"01/20/2021 15:06:04","85.0","5.4"
"01/20/2021 15:06:34","85.0","6.7"
"01/20/2021 15:07:04","85.0","4.6"
"01/20/2021 15:07:34","84.9","6.8"
"01/20/2021 15:08:04","85.0","4.5"
"01/20/2021 15:08:34","84.9","6.8"
"01/20/2021 15:09:04","84.9","4.4"
"01/20/2021 15:09:34","84.9","6.8"
"01/20/2021 15:10:04","85.0","5.2"
"01/20/2021 15:10:34","85.8","8.0"
"01/20/2021 15:11:04","85.5","5.2"
